Поступление товаров,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Характеристика номенклатуры; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""21.06.2013 0:00:00"" И Ссылка.Дата Меньше или равно ""30.10.2013 23:50:00""",,,,,,,,,,
,,,,,,,,,,
Ссылка,,,,,Шапка,,,,,
,,,,,Ссылка.Магазин,,,,,
"Номенклатура, Код",Характеристика номенклатуры,Количество,Цена,Сумма,Шапка,,,,,
,,,,,Ссылка.Магазин,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма документа,Ссылка.Проведен
,,,,,Магазин Галерея,,,,,
Поступление товаров ЦБ000000047 от 21.06.2013 11:37:00,,,,,Магазин Галерея,21.06.2013 11:37:00,ЦБ000000047,Denny Rose,"128,100.00",Да
"Платье Deny Rose , ЦБ000003386",,2.000,"4,300.00","8,600.00",,,,,,
"Платье Deny Rose , ЦБ000003388",,2.000,"4,300.00","8,600.00",,,,,,
"Платье Deny Rose , ЦБ000003389",,1.000,"4,500.00","4,500.00",,,,,,
"Сарафан Deny Rose, ЦБ000003390",,2.000,"6,500.00","13,000.00",,,,,,
"Туника Deny Rose , ЦБ000003391",,2.000,"3,900.00","7,800.00",,,,,,
"Жилетка Deny Rose, ЦБ000003392",,2.000,"3,800.00","7,600.00",,,,,,
"Сарафан Deny Rose , ЦБ000003393",,2.000,"4,000.00","8,000.00",,,,,,
"Комбинезон Oben, ЦБ000003331",,28.000,"2,500.00","70,000.00",,,,,,
Поступление товаров ЦБ000000055 от 28.06.2013 12:17:12,,,,,Магазин Галерея,28.06.2013 12:17:12,ЦБ000000055,Denny Rose,"76,000.00",Да
"Сарафан Denny Rose 6655, ЦБ000003395",,2.000,"5,500.00","11,000.00",,,,,,
"Платье Denny Rose 6600, ЦБ000003396",,4.000,"5,500.00","22,000.00",,,,,,
"Платье Deny Rose , ЦБ000003389",,1.000,"4,500.00","4,500.00",,,,,,
"Платье Deny Rose , ЦБ000003386",,2.000,"4,300.00","8,600.00",,,,,,
"Платье Denny Rose 6595, ЦБ000003397",,2.000,"5,500.00","11,000.00",,,,,,
"Шорты Denny Rose 6560, ЦБ000003398",,3.000,"3,500.00","10,500.00",,,,,,
"Платье Palmeto, ЦБ000003375",,3.000,"2,800.00","8,400.00",,,,,,
Поступление товаров ЦБ000000056 от 02.07.2013 11:47:09,,,,,Магазин Галерея,02.07.2013 11:47:09,ЦБ000000056,AMN,"98,800.00",Да
"Платье LA foli 7046, ЦБ000003382",,15.000,"2,800.00","42,000.00",,,,,,
"Платье Viveline 3022, ЦБ000003475",,8.000,"2,900.00","23,200.00",,,,,,
"Платье Palmetto 620311, ЦБ000003304",,12.000,"2,800.00","33,600.00",,,,,,
Поступление товаров ЦБ000000060 от 05.07.2013 12:28:15,,,,,Магазин Галерея,05.07.2013 12:28:15,ЦБ000000060,Поставщик,"84,000.00",Да
"Сарафан SOGO, ЦБ000003328",,9.000,"6,000.00","54,000.00",,,,,,
"Костюм Just Rich, ЦБ000003253",,6.000,"5,000.00","30,000.00",,,,,,
Поступление товаров ЦБ000000065 от 09.07.2013 15:50:33,,,,,Магазин Галерея,09.07.2013 15:50:33,ЦБ000000065,AMN,"470,000.00",Да
"Пальто Icon 9044, ЦБ000003764",,20.000,"6,200.00","124,000.00",,,,,,
"Пальто Icon 9005, ЦБ000003763",,20.000,"5,500.00","110,000.00",,,,,,
"Пальто Icon 9029, ЦБ000003765",,8.000,"6,200.00","49,600.00",,,,,,
"Пальто Icon 9008, ЦБ000003766",,4.000,"6,000.00","24,000.00",,,,,,
"Пальто Icon 9002, ЦБ000003767",,12.000,"6,200.00","74,400.00",,,,,,
"Пальто Icon 9036, ЦБ000003768",,16.000,"5,500.00","88,000.00",,,,,,
Поступление товаров ЦБ000000068 от 09.07.2013 16:24:08,,,,,Магазин Галерея,09.07.2013 16:24:08,ЦБ000000068,Поставщик,"89,450.00",Да
"Джинсы AMN , ЦБ000003769",,1.000,"2,600.00","2,600.00",,,,,,
"Юбка AMN , ЦБ000002705",,2.000,"3,600.00","7,200.00",,,,,,
"Юбка Denny Rose, ЦБ000002303",,4.000,"3,000.00","12,000.00",,,,,,
"Шорты AMN, ЦБ000002327",,5.000,"2,000.00","10,000.00",,,,,,
"Юбка FSK, ЦБ000002299",,6.000,"2,500.00","15,000.00",,,,,,
"Юбка AMN, ЦБ000000207",,3.000,"2,600.00","7,800.00",,,,,,
"Платье Pink 0033, ЦБ000003477",,1.000,"1,450.00","1,450.00",,,,,,
"Платье Viveline 3022, ЦБ000003475",,1.000,"2,900.00","2,900.00",,,,,,
"Футболка AMN (CELYN), ЦБ000000604",,1.000,"1,700.00","1,700.00",,,,,,
"Платье Celyn, ЦБ000002949",,1.000,"3,500.00","3,500.00",,,,,,
"Туника Denny Rose, ЦБ000000746",,1.000,"4,100.00","4,100.00",,,,,,
"Комбинезон Fevori, ЦБ000003770",,1.000,"2,700.00","2,700.00",,,,,,
"Платье Sirius, ЦБ000003334",,1.000,"2,900.00","2,900.00",,,,,,
"Плать Ageless, ЦБ000003214",,1.000,"2,400.00","2,400.00",,,,,,
"Платье Daiqiry, ЦБ000003130",,1.000,"3,400.00","3,400.00",,,,,,
"Платье N-value, 00000000326",,1.000,"1,600.00","1,600.00",,,,,,
"Юбка Sogo, ЦБ000003244",,1.000,"4,000.00","4,000.00",,,,,,
"Туника Felicita 2269, ЦБ000003635",,1.000,"2,300.00","2,300.00",,,,,,
"Бадлон Kiki-Riki, ЦБ000003772",,1.000,500.00,500.00,,,,,,
"Платье 9936, ЦБ000003660",,1.000,"1,400.00","1,400.00",,,,,,
Поступление товаров ЦБ000000076 от 16.07.2013 12:01:29,,,,,Магазин Галерея,16.07.2013 12:01:29,ЦБ000000076,AMN,"424,000.00",Да
"Джинсы AMN 4010 DNM1, ЦБ000003789",,10.000,"3,200.00","32,000.00",,,,,,
"Джинсы AMN 4023 DNM, ЦБ000003790",,5.000,"3,300.00","16,500.00",,,,,,
"Боди AMN 2018, ЦБ000003791",,16.000,"2,600.00","41,600.00",,,,,,
"Рубашка AMN 2017, ЦБ000003792",,8.000,"2,500.00","20,000.00",,,,,,
"Платье Klimeda 077, ЦБ000003793",,6.000,"3,700.00","22,200.00",,,,,,
"Платье DG 39, ЦБ000003794",,4.000,"5,500.00","22,000.00",,,,,,
"Платье 68596, ЦБ000003795",,2.000,"3,300.00","6,600.00",,,,,,
"Плащ цветы 6056, ЦБ000003796",,5.000,"4,100.00","20,500.00",,,,,,
"Платье DG 310, ЦБ000003797",,4.000,"4,800.00","19,200.00",,,,,,
"Пиджак AMN (CHLOE), ЦБ000003080",,30.000,"3,500.00","105,000.00",,,,,,
"Кардиган Mahardia, ЦБ000003074",,32.000,"3,700.00","118,400.00",,,,,,
Поступление товаров ЦБ000000085 от 19.07.2013 17:38:33,,,,,Магазин Галерея,19.07.2013 17:38:33,ЦБ000000085,,,Нет
"Платье Ofita 13A058, ЦБ000003689",,1.000,,,,,,,,
Поступление товаров ЦБ000000090 от 22.07.2013 12:14:33,,,,,Магазин Галерея,22.07.2013 12:14:33,ЦБ000000090,AMN,"172,500.00",Да
"Брюки AMN 4005 STN, ЦБ000003878",,10.000,"3,300.00","33,000.00",,,,,,
