Поступление товаров,,,,,,,,,,,
"Группировки строк: Ссылка.Магазин; Ссылка; 
Дополнительные поля: Номенклатура; Номенклатура.Код; Количество; Ставка НДС; Сумма НДС; Цена; Сумма; Ссылка.Магазин; Ссылка.Дата; Ссылка.Номер; Ссылка.Контрагент; Ссылка.Сумма включает НДС; Ссылка.Сумма документа; Ссылка.Проведен; 
Отбор: Ссылка.Дата Больше или равно ""01.12.2013 0:00:00"" И Ссылка.Дата Меньше ""01.02.2014 0:00:00""",,,,,,,,,,,
,,,,,,,,,,,
Шапка,,,,,,,,,,,
Ссылка.Магазин,,,,,,,,,,,
Ссылка,,,,,,Шапка,,,,,
,,,,,,Ссылка.Дата,Ссылка.Номер,Ссылка.Контрагент,Ссылка.Сумма включает НДС,Ссылка.Сумма документа,Ссылка.Проведен
123,,,,,,,,,,,
"Номенклатура, Номенклатура.Код",Количество,Ставка НДС,Сумма НДС,Цена,Сумма,,,,,,
Авиаконструкторов 2,,,,,,,,,,,
Поступление товаров АВ000000435 от 03.12.2013 12:10:29,,,,,,03.12.2013 12:10:29,АВ000000435,"ЗАО ""ТК ""МЕГАПОЛИС""",Да,"18,323.04",Да
"Сигареты Camel filters, Ц0000001371",10.000,18%,84.26,55.24,552.36,,,,,,
"Сигареты Camel blue, Ц0000001313",10.000,18%,84.26,55.24,552.36,,,,,,
"Cигареты Camel silver , Ц0000001852",10.000,18%,84.26,55.24,552.36,,,,,,
"Сигареты Glamour azure, Ц0000002108",10.000,18%,69.55,45.60,455.95,,,,,,
"Сигареты Glamour amber, Ц0000000462",10.000,18%,69.55,45.60,455.95,,,,,,
"Сигареты Glamour menthol superslims, ЕС000000439",10.000,18%,69.55,45.60,455.95,,,,,,
"Сигареты LD  blue, Ц0000000750",10.000,18%,54.85,35.96,359.55,,,,,,
"Сигареты Петр 1 эталон , Ц0000002117",10.000,18%,57.53,37.71,377.13,,,,,,
"Сигареты Wings blue, Ц0000001850",10.000,18%,54.34,35.62,356.24,,,,,,
"Сигареты Winston blue, Ц0000002058",20.000,18%,144.47,47.35,947.07,,,,,,
"Сигареты Winston silver, Ц0000000264",20.000,18%,144.47,47.35,947.07,,,,,,
"Сигареты Winston super slim light, Ц0000000131",10.000,18%,72.23,47.35,473.53,,,,,,
"Сигареты Winston super slim silver, Ц0000001648",10.000,18%,72.23,47.35,473.53,,,,,,
"Сигареты Winston XS blue, Ц0000000273",10.000,18%,77.56,50.85,508.46,,,,,,
"Сигареты Winston XSence silver, Ц0000002110",10.000,18%,77.56,50.85,508.46,,,,,,
"Сигареты Winston XStyle  LSS silver, Ц0000000275",10.000,18%,77.56,50.85,508.46,,,,,,
"Сигареты Winston XS micro black, Ц0000000463",10.000,18%,77.58,50.86,508.58,,,,,,
"Сигареты Winston XS micro silver, Ц0000000461",10.000,18%,77.58,50.86,508.58,,,,,,
"Сигареты Davidoff classic, Ц0000000044",10.000,18%,107.53,70.49,704.93,,,,,,
"Сигареты Davidoff gold slims, Ц0000001139",10.000,18%,107.53,70.49,704.93,,,,,,
"Сигареты Style blue, Ц0000000258",10.000,18%,57.80,37.89,378.90,,,,,,
"Сигареты Style pink diamond , Ц0000000106",10.000,18%,60.48,39.65,396.48,,,,,,
